Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
4.75904,6.58517,-3.98444,-9.55271,-5.77999
5.12674,1.30792,-4.18928,-13.04178,-12.80117
5.25265,-1.47601,-3.31699,-11.77563,-18.72729
5.37844,-4.15913,-1.18100,-10.19090,-23.84813
5.51461,-5.95446,1.79001,-9.73790,-28.76788
5.65458,-7.36293,5.42601,-9.43334,-33.48974
5.77720,-6.54038,8.59900,-8.66206,-37.92428
5.89592,-3.98005,10.14290,-8.37349,-42.14227
6.01695,-2.04188,10.84988,-8.55355,-46.59174
6.13727,-0.44032,10.88968,-8.49012,-50.85989
6.26013,0.44707,10.50559,-8.57996,-55.23716
6.38298,0.46403,10.02666,-8.50454,-59.50636
6.50449,-0.06802,10.06491,-8.36845,-63.75376
6.62778,-0.38553,10.20672,-8.18606,-67.97927
6.74980,-0.74317,10.38808,-8.03512,-72.04638
6.87168,-1.19709,10.89157,-7.98924,-76.17128
6.99696,-1.18155,11.38967,-7.98852,-80.31421
7.12376,-1.14674,11.91093,-7.96064,-84.43836
7.24830,-0.92149,12.32521,-7.86633,-88.52666
7.37787,-0.33481,12.27764,-7.82508,-90.00000
7.51362,0.03169,12.10976,-7.80527,-90.00000
7.66456,0.09425,11.82880,-7.73173,-90.00000
7.83038,0.10629,11.55609,-7.39386,-90.00000
7.98743,0.10839,11.28568,-7.21202,-90.00000
8.11904,0.36447,10.87199,-7.05736,-90.00000
8.27254,0.37843,10.60994,-7.13403,-90.00000
8.40693,0.23034,10.42363,-7.19131,-90.00000
8.61593,0.14732,10.19116,-7.19525,-90.00000
8.75044,0.16753,9.90508,-7.22857,-90.00000
8.87247,0.13380,9.65500,-7.19438,-90.00000
9.00373,0.03728,9.43672,-7.24378,-90.00000
9.12498,-0.14841,9.26438,-7.35155,-90.00000
9.71469,-22.17618,21.40183,-9.72693,-90.00000
9.83452,-23.80813,33.31704,-9.63050,-90.00000
10.17987,-3.48325,33.95334,-9.38417,-90.00000
10.30538,-1.58084,34.44812,-9.52143,-90.00000
10.42792,-1.25313,34.90085,-9.56767,-90.00000
10.55192,-0.90813,35.26772,-9.65932,-90.00000
10.67097,-0.28228,35.21181,-9.80533,-90.00000
10.79753,-0.15629,35.17231,-9.95703,-90.00000
10.92222,-0.15645,35.17823,-10.07735,-90.00000
11.03878,-0.11616,35.15625,-10.13642,-90.00000
11.15792,-0.06588,35.13069,-10.12307,-90.00000
11.27496,0.01578,35.08849,-10.21169,-90.00000
11.39430,0.03096,34.81385,-10.21253,-90.00000
11.52170,0.06077,34.52832,-10.07631,-90.00000
11.63948,0.26134,34.15071,-9.89584,-90.00000
11.75897,0.48177,33.76974,-9.70090,-90.00000
11.88580,0.64480,33.42074,-9.61201,-90.00000
12.00377,0.77062,32.81945,-9.51964,-90.00000
12.12286,0.85729,32.23778,-9.45905,-90.00000
12.23861,0.98786,31.63074,-9.42818,-90.00000
12.35729,1.18994,30.98685,-9.32781,-90.00000
12.48180,1.26258,30.14580,-9.51918,-90.00000
12.60359,0.15530,29.93627,-9.65686,-90.00000
12.73280,-0.81439,30.14527,-9.55228,-90.00000
12.86051,-1.00595,30.48042,-9.46035,-90.00000
12.98283,-0.91616,30.69462,-9.49078,-90.00000
13.09851,-0.87216,30.94440,-9.55235,-90.00000
13.22354,-0.84563,31.20181,-9.56616,-90.00000
13.34084,-0.90342,31.50388,-9.62648,-90.00000
13.48273,-0.90345,31.77173,-9.68678,-90.00000
13.60633,-0.94637,32.06476,-9.65750,-90.00000
13.73207,-0.51489,32.10174,-9.48870,-90.00000
14.23251,17.67975,22.38093,-9.31922,-90.00000
14.35192,20.14876,11.97960,-9.65187,-90.00000
14.71272,4.89760,9.94950,-9.54126,-90.00000
14.83238,3.47844,8.02862,-9.36777,-90.00000
14.95394,2.51477,6.60484,-9.36546,-90.00000
15.08022,0.43688,6.33045,-9.35135,-90.00000
15.20173,-1.13766,6.83062,-9.38302,-90.00000
15.32927,-1.75630,7.64833,-9.39869,-90.00000
15.45786,-1.84499,8.48536,-9.42861,-90.00000
15.58128,-1.94566,9.34606,-9.42944,-90.00000
15.70156,-2.01759,10.19109,-9.50480,-90.00000
15.83160,-1.03659,10.47731,-9.54883,-90.00000
15.95729,-0.09746,10.27930,-9.54897,-90.00000
16.08765,-0.03836,10.27734,-9.40250,-90.00000
16.22593,0.04707,10.23383,-9.39788,-90.00000
16.34810,0.04780,9.96608,-9.35197,-90.00000
16.47103,0.00279,9.71997,-9.35121,-90.00000
16.59214,-0.02396,9.46279,-9.29237,-90.00000
16.72958,-0.04102,9.47102,-9.29116,-90.00000
16.87081,-0.06754,9.48455,-9.26141,-90.00000
17.01386,-0.05419,9.47670,-9.24618,-90.00000
17.13864,0.00351,9.44656,-9.30658,-90.00000
17.26327,0.04780,9.15482,-9.35197,-90.00000
17.42003,-0.00989,8.91660,-9.35644,-90.00000
17.54394,0.00344,8.90790,-9.36700,-90.00000
17.67650,-0.00932,8.64502,-9.36766,-90.00000
17.81282,-0.03824,8.65993,-9.45834,-90.00000
