Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
2.42227,3.27813,-3.27813,-9.31531,-6.58051
4.93401,3.15125,-6.66125,-8.90116,-11.06861
5.06558,0.89106,-7.64106,-8.55124,-15.40108
5.20424,-0.49687,-7.33313,-3.72439,-16.87845
5.35392,-2.00022,-5.55978,2.19396,-15.27031
5.47954,-2.99464,-2.67536,4.62282,-12.76696
5.60001,-3.27819,0.57819,5.90270,-9.71438
5.72656,-3.47092,4.01092,4.00237,-7.88474
5.85506,-4.35479,8.13479,-1.81102,-9.32195
5.97663,-4.65858,12.75858,-5.24522,-12.26991
6.09812,-4.74272,17.43272,-5.21558,-15.02536
6.21959,-4.75601,22.03601,-2.01300,-15.86904
6.33807,-4.60168,26.47168,2.05717,-14.67033
6.45986,-4.47397,30.93397,2.60492,-13.41515
6.58708,-4.51847,35.29847,2.69726,-12.14436
6.71031,-4.67694,39.77694,2.20176,-11.17604
6.83398,-4.78628,44.47628,1.26785,-10.77440
6.97655,-4.90507,49.18507,0.33545,-10.69910
7.12625,-4.93223,54.07223,-0.75011,-11.25122
7.25269,-4.84112,58.84112,-0.70623,-11.69009
7.73117,-4.38698,62.97698,-0.60031,-11.99330
7.88240,-4.39729,67.30729,-0.57094,-12.34361
9.49378,-6.46932,73.69932,-1.03471,-12.96178
9.63901,-5.66105,79.10105,3.03824,-11.40961
9.77653,-5.51014,84.35014,5.22453,-8.79592
9.90865,-6.21626,90.45626,5.29211,-6.17053
10.03123,-6.82680,97.27680,3.24430,-4.77992
10.15344,-7.67937,104.87937,1.10060,-4.41527
10.28010,-7.93519,112.69519,1.44157,-3.76263
10.40420,-7.57535,120.16535,4.56465,-1.34759
10.53314,-7.02369,127.17369,6.70155,2.01221
10.65661,-6.52719,133.69719,5.60190,4.72936
10.78819,-6.78247,135.00000,2.68949,5.88976
10.91552,-7.03248,135.00000,-0.03438,5.61804
11.03406,-7.11326,135.00000,0.00170,5.58248
11.16557,-7.47023,135.00000,1.17414,6.21957
11.29008,-7.57398,135.00000,2.21294,7.27247
11.41674,-7.38462,135.00000,2.33434,8.37249
11.54227,-7.09955,135.00000,2.22704,9.38887
11.66115,-6.71796,135.00000,2.20010,10.45890
11.78431,-6.54257,135.00000,2.63653,11.77678
11.90825,-6.55257,135.00000,1.63741,12.47675
12.02860,-6.56906,135.00000,1.34558,13.08066
12.15306,-6.53932,135.00000,1.76416,13.85930
12.28056,-6.54017,135.00000,1.53088,14.43594
12.40004,-6.46938,135.00000,1.40661,15.09829
12.54362,-6.13829,135.00000,0.86182,15.34919
12.66694,-5.69465,135.00000,1.09616,15.85733
12.78836,-5.39224,135.00000,0.75291,16.20304
12.91222,-5.23211,135.00000,0.37793,16.37444
13.03400,-5.21695,135.00000,-0.08819,16.13802
13.15517,-5.29036,135.00000,-0.07323,15.98395
13.27456,-5.27718,135.00000,0.00570,15.84582
13.39177,-5.14544,135.00000,0.03538,15.85880
13.52337,-5.07453,135.00000,0.02095,15.84994
