Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
0.23736,9.59710,-25.01482,-6.20099,-16.16286
0.35878,9.61259,-29.93788,-6.20261,-19.30356
0.60463,-16.08200,-0.68072,13.31985,3.36414
0.72291,-18.92471,10.61850,13.63246,10.27244
1.06428,16.93204,-14.78164,-16.84968,-12.48544
1.18130,19.46174,-25.65159,-16.75371,-20.93623
1.55358,-14.21578,-7.97343,14.85876,-3.45656
1.69315,-15.98007,0.41105,14.94337,3.89667
2.09834,7.88864,-9.36186,-10.55372,-7.57241
2.21968,8.98811,-14.19172,-10.55074,-13.01470
2.34029,4.36572,-15.50529,-0.16299,-11.00217
2.61167,-4.47965,-11.72675,5.81240,-7.10983
2.76887,-5.39235,-9.01901,5.81346,-4.29308
2.89028,-4.28244,-7.23078,2.07521,-3.92909
3.01169,-2.01755,-6.65724,-1.35808,-5.20904
3.13615,0.15871,-7.17632,-1.76709,-6.16875
3.26590,1.40426,-8.18282,-1.81206,-7.21292
3.38782,1.50422,-9.13686,-1.78259,-8.26694
3.52729,1.47403,-9.91274,-0.64710,-8.44260
3.68291,1.44843,-10.71074,0.31597,-8.17127
3.82398,1.23299,-11.38832,0.43923,-8.04427
3.94712,0.10030,-11.51666,0.45711,-7.86918
4.08640,-0.58794,-11.23182,0.42458,-7.71169
4.21653,-1.31422,-10.59677,0.47352,-7.49744
4.34198,-1.35567,-10.11739,0.43838,-7.34486
4.46924,-1.29675,-9.61822,0.45741,-7.14917
4.59757,-1.33965,-9.04551,0.47137,-6.96280
4.72994,-1.30261,-8.53261,0.45805,-6.79238
4.86834,-1.29675,-7.99223,0.45741,-6.61136
4.99654,-1.30261,-7.44811,0.45805,-6.43091
5.12571,-1.30261,-6.90869,0.45805,-6.25097
5.25062,-1.33965,-6.34665,0.47137,-6.06305
5.37686,-1.36083,-5.79762,0.44183,-5.90183
5.54970,0.67767,-6.46249,0.39410,-5.74725
5.69136,2.33980,-7.79592,0.37843,-5.57216
5.81961,2.25494,-8.95018,-0.07198,-5.65469
5.95617,2.32394,-10.34776,-0.11776,-5.82272
6.10335,2.12393,-11.57558,-0.10386,-5.99079
6.23534,1.14101,-12.10169,-0.08698,-6.16214
6.36210,-0.61678,-11.70346,-0.07249,-6.33510
6.48899,-1.29790,-11.17857,-0.08803,-6.52521
6.62591,-1.37413,-10.64718,-0.05712,-6.68623
6.74686,-1.32551,-10.14085,-0.07116,-6.87662
6.87688,-1.37413,-9.56940,-0.05712,-7.04754
7.00605,-1.32551,-9.06071,-0.07116,-7.23658
7.13862,-1.36068,-8.49719,-0.05569,-7.40676
7.26872,-1.36068,-7.95966,-0.05569,-7.58784
7.41932,-1.31228,-7.44712,-0.07273,-7.77751
7.54783,-1.29668,-6.91269,-0.07386,-7.95701
7.67442,-1.36068,-6.33549,-0.05569,-8.12666
7.81263,-1.36068,-5.79966,-0.05569,-8.30784
7.94313,0.15912,-6.11523,0.40801,-8.22681
8.08190,1.80743,-7.21569,0.44196,-8.05692
8.22955,1.79038,-8.18415,0.45623,-7.87102
8.35779,2.85580,-9.86164,0.40970,-7.71793
8.48379,4.91557,-12.56918,0.36603,-7.55956
8.63132,7.01521,-16.31923,0.34801,-7.38704
8.76952,6.23152,-19.54107,0.36542,-7.37630
8.89581,3.81180,-21.47990,0.34786,-7.20706
9.02890,0.61275,-21.72922,0.28674,-7.24001
9.15410,-2.01829,-20.71715,0.27080,-7.24547
9.43175,-3.46196,-18.98249,0.28590,-7.23625
9.57118,-3.41650,-17.46412,0.27039,-7.24561
9.74356,-2.24767,-16.48614,0.29993,-7.22852
9.91806,-0.01111,-16.84720,0.28369,-7.23897
10.19270,0.72496,-17.40859,0.25361,-7.25467
10.33008,0.85161,-17.98193,0.23930,-7.26104
10.48185,0.90000,-18.54231,0.22254,-7.26953
10.64634,0.95356,-19.10930,0.23797,-7.26029
10.80942,2.14168,-20.29580,0.23727,-7.26140
10.95213,3.05021,-22.08658,0.22219,-7.26959
11.09062,2.76181,-23.50790,0.14514,-7.31090
11.22202,1.71002,-24.56815,0.12929,-7.31606
11.35178,-0.02486,-24.48115,0.12911,-7.31545
11.50792,-1.25051,-23.89149,0.09882,-7.33191
11.64108,-1.32321,-23.36527,0.12944,-7.31396
11.78241,-1.35616,-22.81052,0.11277,-7.32432
11.91519,-1.35388,-22.27315,0.09821,-7.33150
12.06043,-1.41393,-21.70054,0.14403,-7.30608
12.19121,-1.62887,-21.04675,0.09732,-7.33325
12.33984,-2.22195,-19.92499,0.09825,-7.33084
12.88784,-6.60820,-16.50573,0.25695,-7.24537
13.01539,-8.77388,-12.26987,0.32354,-7.21567
13.14749,-8.77449,-8.03273,0.33839,-7.21024
13.28017,-7.20904,-4.55442,0.33612,-7.21202
13.42600,-5.20507,-2.06210,0.39622,-7.17965
13.55897,-3.53732,-0.45284,0.40929,-6.99487
13.69148,-2.44279,0.64143,0.42553,-6.80664
13.88135,-0.94091,0.95636,0.42500,-6.62752
14.02287,0.25928,0.63757,0.36114,-6.48170
14.16673,0.20401,0.43994,0.39232,-6.46274
14.32455,-0.02714,0.29164,0.39234,-6.28383
14.86611,-0.07205,0.30753,0.42441,-6.08671
15.00232,0.57701,-0.04014,-0.21520,-6.24892
15.15303,1.19352,-0.88710,-3.10663,-7.94872
15.31394,1.34900,-1.75958,-7.23010,-11.84968
15.45659,1.92162,-2.86933,-12.41829,-18.25698
15.72460,1.23601,-3.56621,-5.77601,-21.03680
15.85701,1.08976,-4.32027,-6.69979,-24.43903
16.29950,-1.69638,-3.65634,-4.98000,-26.91724
16.46806,-2.49313,-2.50925,-7.87954,-31.02781
16.61226,-3.32972,-1.00996,-6.79544,-34.50509
16.95524,-2.54614,0.16996,1.38526,-33.62613
17.08761,-2.34951,1.16900,1.62843,-32.83867
17.22387,-2.25666,2.20563,1.78865,-32.04102
17.37646,-1.49778,2.88705,1.78271,-31.32881
17.57225,0.98801,2.13526,1.93758,-30.52680
17.73698,1.17520,1.29712,1.15991,-30.04197
17.88511,1.27825,0.43800,0.50737,-29.82456
18.03599,1.33591,-0.39955,-0.23912,-30.02025
18.17713,1.42134,-1.25302,-0.14643,-30.13067
18.31834,1.25011,-1.97038,0.01058,-30.23042
18.45460,0.57443,-2.42891,0.32548,-30.06873
18.65789,-0.35550,-2.22733,0.41439,-30.03042
18.78962,-0.45462,-2.20005,0.60176,-29.75413
18.99448,-0.38173,-2.24105,0.41505,-29.67739
19.15101,-0.38318,-2.23837,0.42995,-29.48464
19.28721,-0.36874,-2.24601,0.19689,-29.42760
19.47889,-0.31002,-2.27650,0.29072,-29.37223
19.61011,-0.20884,-2.32816,0.44537,-29.29337
19.75150,-0.15208,-2.35540,0.58544,-29.04373
19.99833,-0.15200,-2.35400,0.74103,-28.78560
20.14023,-1.26297,-1.77094,1.11700,-28.23217
20.46378,-4.69164,0.53960,1.00996,-27.75764
20.59624,-8.32348,4.51991,2.13983,-26.80266
20.73001,-9.41734,9.05505,2.84102,-25.38258
20.86624,-8.70902,13.24754,2.80984,-24.15583
21.00434,-5.36843,15.83469,1.97008,-23.33495
21.76969,-1.35970,16.24778,1.24681,-22.79321
22.27688,-3.42021,17.95635,1.30022,-22.20869
22.44522,-4.11766,19.89437,1.74606,-21.43704
22.67051,-3.13815,21.25747,1.93395,-20.62888
23.01006,0.37955,20.79379,1.04853,-20.19497
23.17941,0.93042,20.31291,1.14148,-19.76726
23.34116,1.58777,19.44203,1.26331,-19.16573
23.47669,2.96129,17.93010,0.24274,-19.16037
23.62531,3.79805,15.90327,0.16113,-19.18116
23.76709,3.84253,13.73780,-0.08672,-19.30857
23.97145,3.38846,11.81524,-0.61830,-19.76024
24.11182,3.03543,10.09961,-0.80147,-20.20454
24.26560,2.73950,8.62635,-1.06898,-20.88000
24.41033,2.06731,7.35012,-1.29602,-21.71266
