Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
2.07308,2.81683,-2.08780,-5.31751,-3.94127
2.19879,2.59693,-3.40846,-5.33255,-6.62969
2.32030,2.91989,-5.03954,-3.14164,-7.75870
2.45225,3.52496,-7.01585,0.00985,-7.27251
2.58107,3.27075,-8.60613,0.97126,-6.70813
2.70816,3.04871,-10.12336,0.98432,-6.34543
2.83384,1.59028,-10.79782,1.07548,-5.92618
2.98854,-0.17894,-10.41453,1.23781,-5.29394
3.13151,-1.27324,-9.71865,1.29616,-4.74260
3.28392,-1.81865,-8.72763,0.65843,-4.62788
3.41418,-1.90511,-7.94478,0.19217,-4.65220
3.54676,-1.57241,-7.36070,0.16299,-4.60262
3.70154,-1.14088,-7.04785,0.08191,-4.65000
3.83491,2.33448,-8.91036,-0.22913,-4.83512
3.96412,7.01372,-13.27706,-0.56354,-5.18395
4.10579,10.24514,-19.01609,-0.84171,-5.67473
4.23385,9.64933,-23.92430,-0.82747,-6.17205
4.36097,4.76576,-25.85296,-0.66092,-6.61136
4.61740,-3.46742,-23.29475,-0.24137,-6.73525
4.74542,-4.86238,-20.91183,-0.22740,-6.95223
4.90220,-4.84837,-18.63724,-0.19512,-7.11427
5.31908,0.84705,-19.85890,-0.46079,-7.45537
5.45202,0.83166,-20.39442,-0.45958,-7.78968
5.58927,0.87644,-20.96223,0.19149,-7.76601
5.72646,0.87652,-21.49827,0.75107,-7.49561
5.86123,0.16985,-21.62464,0.81454,-7.14732
5.99717,-0.53391,-21.54437,0.85872,-6.76696
6.14211,-0.55138,-21.32289,0.85999,-6.40990
6.27227,-0.53485,-21.06389,0.84421,-6.05915
6.40957,-0.55138,-21.05302,0.85999,-5.68877
6.54728,-0.52217,-20.80114,0.82857,-5.34812
6.67812,-0.51973,-20.80032,0.84321,-4.97730
6.82467,-0.64367,-20.72909,0.22397,-4.97338
6.96516,-0.55415,-20.51935,0.06877,-5.01676
7.20801,-0.55415,-20.24292,0.06877,-5.00562
7.33877,-0.55415,-19.97292,0.06877,-5.00562
7.55195,-0.53775,-19.71221,0.08187,-4.99820
7.70562,-0.53882,-19.71052,0.06756,-5.00715
8.01976,-1.03430,-19.43196,0.03652,-5.02367
8.32290,-14.15281,-11.57550,0.94429,-4.51332
8.47127,-16.27417,-3.34771,1.15319,-4.09108
8.61847,-11.99912,2.24154,0.40695,-3.97982
8.93897,2.99205,-0.17455,-0.80382,-4.60963
9.08609,6.18693,-3.53928,-0.89367,-5.13178
9.23346,6.41455,-6.99960,-0.92448,-5.68391
9.38924,4.29287,-9.05345,-0.81638,-6.16244
9.58459,0.07579,-8.99790,-0.61494,-6.59696
9.74059,-2.13149,-8.00095,-0.52300,-6.91678
