Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
0.16682,15.30816,-53.53586,-5.80125,-20.28819
0.30483,16.91599,-64.82530,-5.89684,-23.44522
3.77625,-29.42666,-44.22060,10.86297,-15.92941
3.89844,-26.90100,-31.15343,8.02925,-12.36882
4.27689,6.46767,-38.45488,-4.05779,-15.86196
4.41090,8.01615,-42.79360,-3.69716,-17.82770
4.53809,4.21088,-44.61618,-1.61989,-18.58108
4.71983,-0.78826,-43.89628,0.41327,-18.29798
4.85276,-5.66974,-40.67217,1.35945,-17.58279
4.99006,-7.01770,-37.12609,1.42674,-16.91989
5.13075,-7.50901,-33.45761,1.69130,-16.04857
5.26777,-6.04842,-30.59442,2.79054,-14.70039
5.39892,-3.11001,-29.49712,3.42206,-12.99048
5.59951,-0.83239,-29.48718,2.97228,-11.69402
5.79464,0.03312,-29.79124,3.76817,-9.74724
6.01954,-1.46669,-29.11208,5.58975,-6.95382
6.22602,-2.62915,-27.75207,5.20878,-4.44620
6.37726,-3.34706,-26.08019,2.26238,-3.59982
7.14528,-0.86404,-25.93173,-1.65370,-4.70089
7.27468,-0.82348,-25.78105,-1.70091,-5.71370
7.41042,-0.84786,-25.49442,-1.65476,-6.58427
7.73825,-0.79085,-25.25826,-0.63217,-6.91001
7.87091,-0.76685,-24.99810,-0.52057,-7.27319
8.04083,-0.74623,-24.73817,0.11541,-7.28275
8.21704,-0.72924,-24.47642,0.34598,-7.19298
8.35299,0.04099,-24.63660,0.33281,-7.03438
8.48109,0.53794,-25.13827,0.30024,-7.05180
8.61839,0.44519,-25.59722,0.32959,-7.03350
8.86114,0.52592,-25.91752,0.31595,-7.04279
9.02360,0.53794,-26.18963,0.30024,-7.05075
9.21222,0.47411,-26.42359,0.33006,-7.03335
9.39494,0.53794,-26.73237,0.30024,-7.05147
9.52724,0.46096,-27.22644,0.33164,-7.03253
9.65841,0.54972,-27.54946,0.31616,-7.04272
9.78996,0.14501,-27.86183,0.31376,-7.04324
9.94425,-1.38413,-27.31105,0.42746,-6.98055
10.07742,-1.61887,-26.71892,0.45620,-6.79048
10.22737,-1.52858,-25.97013,0.42688,-6.62799
10.36970,-1.54191,-25.41840,0.42495,-6.44762
10.50408,-1.52858,-24.88635,0.42688,-6.26647
10.63732,-1.52858,-24.34571,0.42688,-6.08656
10.77112,-1.51113,-23.81524,0.41072,-5.91539
10.93453,-0.42859,-23.86520,0.36129,-5.76161
11.07142,1.14439,-24.67323,0.30084,-5.79231
11.19905,1.14259,-25.41121,0.31814,-5.78016
11.32682,1.14259,-26.22129,0.31814,-5.78093
11.46179,1.14259,-27.03129,0.31814,-5.78093
11.61706,0.24727,-27.35510,0.34913,-5.76410
11.75355,-0.71575,-27.14116,0.40972,-5.73257
11.94752,-0.84866,-26.84011,0.36257,-5.58069
12.15329,-0.91358,-26.54054,0.37816,-5.57028
12.28883,-0.86597,-26.29895,0.44488,-5.35485
12.41766,-0.86429,-26.02792,0.39555,-5.20421
12.55268,-0.81972,-25.78191,0.42531,-5.00616
12.69261,-0.85038,-25.49360,0.44325,-4.81767
12.84065,-0.83285,-25.23426,0.39526,-4.66424
12.98561,-0.87926,-24.93858,-0.17918,-4.79171
13.13539,-0.87745,-24.67135,-0.32081,-5.02579
13.26453,-0.88342,-24.39806,-0.28517,-5.18124
13.39859,-0.92545,-24.10570,-0.29011,-5.36524
13.53427,-0.93878,-23.83012,-0.29206,-5.54610
13.75029,-0.95440,-23.55223,-0.29067,-5.72528
13.89326,-0.95440,-23.28280,-0.29067,-5.90533
14.07517,-0.93699,-23.02212,-0.30956,-6.09545
14.20316,-0.87745,-22.78337,-0.25864,-6.24753
14.39076,-0.90606,-22.49598,-0.31790,-6.46101
14.53467,1.59083,-23.56131,-0.61630,-6.79842
14.87172,3.58844,-25.62138,-0.86363,-7.28013
15.11517,4.66649,-28.01891,-1.11222,-7.94433
15.30708,6.55021,-31.41664,-0.52015,-8.34074
15.49318,4.84256,-33.95617,-0.35327,-8.63125
15.69956,1.91588,-34.88473,0.62953,-8.29393
15.83434,-1.14238,-34.43224,0.97045,-7.96401
15.98597,-1.24407,-33.93478,0.98635,-7.60633
16.13647,-0.97019,-33.54339,0.84658,-7.32104
16.26722,-0.72297,-33.39612,0.81401,-6.97400
16.52957,-0.66677,-33.14831,0.89340,-6.57090
17.24291,-0.17451,-33.13702,1.15560,-6.07460
17.96352,-0.03064,-33.19869,1.00008,-5.62429
18.16804,1.02384,-33.75094,0.92254,-5.30087
18.39137,1.44457,-34.75372,0.44021,-5.19301
18.54098,1.90608,-35.79549,-0.30591,-5.39308
18.69511,2.22008,-37.02844,-0.44411,-5.62575
18.92462,0.97925,-37.71684,-0.38165,-5.94917
20.00936,-0.83594,-37.33667,-0.44633,-6.34478
20.18528,-0.96673,-37.04340,-0.42274,-6.69078
20.37110,-1.04545,-36.73534,-0.41141,-7.04543
20.59379,-1.01609,-36.48267,-0.40964,-7.40478
22.59124,-1.50807,-35.95508,-0.49304,-7.80836
22.73695,-1.50807,-35.42597,-0.49304,-8.16652
22.87118,-1.40599,-34.93924,0.25488,-8.13621
23.08116,-1.40840,-34.39575,0.71881,-7.91055
23.21914,-1.21810,-33.95505,0.17695,-7.84320
23.35430,-0.46616,-33.80302,0.53333,-7.64571
23.49194,1.27073,-34.69234,0.34696,-7.57048
23.73643,4.13608,-36.95840,0.44021,-7.51793
23.86628,8.64197,-41.40538,0.10772,-7.51310
24.88799,-1.26985,-40.74595,1.06461,-7.00847
25.06447,-2.29481,-39.60215,0.59678,-6.73094
25.25004,-3.39200,-37.97228,0.34829,-6.67078
25.38969,-4.37389,-35.86372,0.27055,-6.70626
25.52571,-4.92896,-33.43465,0.22330,-6.72927
25.72910,-2.99199,-32.02164,0.05191,-6.81738
25.93000,0.59138,-32.49479,-0.08974,-6.88760
26.11931,2.97107,-34.20109,-0.15049,-7.09641
26.30663,2.85374,-35.71464,-0.13397,-7.26667
26.44005,2.92644,-37.37459,-0.13482,-7.44743
26.64128,1.47139,-38.23839,-0.05598,-7.58651
26.89784,-0.74066,-37.92855,-0.08962,-7.78544
27.03251,-0.96127,-37.58529,-0.17879,-8.01105
27.16705,-0.71125,-37.44897,-0.07322,-8.13466
