Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
0.23515,20.18908,-53.02213,-5.96737,-15.67197
0.37011,20.17684,-63.26188,-5.96827,-18.82536
3.18547,-25.65647,-43.42764,1.42766,-17.02528
3.32013,-23.11956,-32.29227,-0.14939,-17.41220
3.68897,6.13376,-39.43185,0.12666,-17.35926
3.89051,7.16943,-43.40781,0.41228,-17.21715
4.37476,-16.30484,-32.63466,4.85584,-14.34422
4.50321,-17.88083,-23.55460,7.65016,-10.26466
4.64461,-13.71100,-17.35339,6.35874,-7.39965
5.01268,2.74886,-20.56625,1.50904,-7.28922
5.15814,3.73688,-22.75421,2.49482,-6.03703
5.30134,2.28926,-23.95809,2.59868,-4.81086
5.49284,0.85287,-24.32568,1.28272,-4.33843
5.66168,-1.64831,-23.52496,-0.05516,-4.64573
5.87575,-2.52598,-22.42233,-0.23018,-4.80998
6.07823,-2.41184,-21.48347,-0.11933,-4.91055
6.21983,-2.28917,-20.46528,0.08399,-4.98166
6.40901,-1.36619,-19.90891,-0.19675,-5.16028
6.53738,0.22640,-20.21500,-1.70434,-6.18748
6.71730,0.57020,-20.56069,-0.36887,-6.38503
6.87359,0.57703,-21.07901,-0.30084,-6.62547
7.00541,0.54436,-21.59985,-0.41465,-6.87545
7.13737,0.58341,-21.89444,-0.33646,-7.18275
7.32459,0.61233,-22.44814,0.19188,-7.06799
7.58810,0.62553,-22.99364,0.13181,-7.13806
7.74797,0.65424,-23.54897,0.19070,-7.10085
7.96770,-0.46885,-23.45510,0.23858,-7.07770
8.15484,-1.23431,-22.82591,0.23716,-7.08151
8.29665,-1.23431,-22.33285,0.23716,-7.08142
8.43391,-1.28649,-21.76366,0.25008,-7.07419
8.72306,-1.22104,-21.26323,0.23901,-7.08113
8.85798,-1.21152,-20.72478,0.24098,-7.07940
9.00158,-1.21152,-20.18424,0.24098,-7.07951
9.22072,-1.17655,-19.66362,0.23715,-7.08163
9.35118,1.16778,-20.41924,0.16048,-7.12386
9.48182,1.27340,-21.16227,0.12997,-7.13662
9.67177,1.27340,-21.96670,0.12997,-7.13502
9.80299,1.26068,-22.76969,0.13185,-7.13398
9.99218,1.26068,-23.58034,0.13185,-7.13408
10.18115,0.19216,-23.80360,0.19070,-7.10176
10.31277,-1.30050,-23.30738,0.26949,-7.06143
10.50911,-1.28460,-22.84845,0.26802,-7.06606
10.69513,-1.28894,-22.30533,0.25376,-7.07379
10.96162,-1.28894,-21.76553,0.25376,-7.07312
11.09545,-1.20938,-21.26890,0.22334,-7.08970
11.23305,-1.25712,-20.69931,0.25353,-7.07189
11.46989,-1.21152,-20.18623,0.24098,-7.08006
11.71771,-1.25712,-19.61949,0.25353,-7.07270
11.85161,0.85626,-20.22729,0.12780,-7.14140
11.98965,1.07429,-20.79624,0.12973,-7.13505
12.19300,1.08749,-21.60429,0.13183,-7.13400
12.33631,1.08749,-22.41374,0.13183,-7.13408
12.70962,1.08749,-23.22374,0.13183,-7.13408
24.16326,-1.37514,-22.75147,0.29869,-7.04720
24.32253,-3.18262,-21.32153,0.39432,-7.00087
24.67041,-4.29476,-19.16008,0.45889,-6.78925
24.87387,-5.44542,-16.42416,0.49092,-6.59390
25.38249,-5.57320,-13.68088,0.45680,-6.43227
25.62895,-9.80402,-8.78545,0.77508,-6.08625
25.85624,-10.80269,-3.48934,0.87139,-5.68244
26.08050,-7.15047,-0.00478,0.64756,-5.44051
26.44177,1.06577,-0.95825,0.12810,-5.52577
26.66338,1.98206,-2.08821,0.13084,-5.51453
