Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
0.28504,0.01270,-7.02092,1.18833,-7.99380
1.22593,-2.03828,-5.43437,0.00650,-8.57876
3.06602,-2.36798,-4.43224,-0.13329,-8.72944
3.37422,-1.79058,-3.78027,-0.00911,-8.80615
3.99590,-1.73283,-3.19081,0.05307,-8.78569
4.55726,-1.68711,-2.40146,0.06833,-8.78416
5.41754,0.03167,-2.60447,0.08372,-8.77672
5.55594,0.03133,-2.71564,0.05262,-8.79649
5.71521,0.03273,-2.98649,0.06921,-8.78394
5.85554,0.03027,-3.25492,0.06701,-8.78668
6.01916,-0.01292,-3.49995,0.08274,-8.77732
6.28241,-1.99188,-2.35656,0.10086,-8.76813
6.49960,-5.25976,0.45127,0.14526,-8.74395
6.76302,-8.44849,10.32882,0.19547,-8.72085
