Time,Pan_Error,Pan_Angle,Tilt_Error,Tilt_Angle
0.53064,-1.30934,-19.02111,1.38895,-5.75629
1.02418,-1.28151,-18.54283,1.37226,-5.08202
1.26714,-1.29662,-17.97573,0.59628,-5.22805
1.67222,0.27994,-18.70136,-0.10416,-5.66151
2.05882,0.30885,-19.06144,-0.16603,-5.85804
2.21846,0.30885,-19.32442,-0.16603,-6.02302
2.52775,0.30885,-19.59442,-0.16603,-6.20302
2.72062,0.30885,-19.86442,-0.16603,-6.38302
2.92021,0.30885,-20.13442,-0.16603,-6.56302
3.05270,0.30885,-20.40442,-0.16603,-6.74302
3.18929,0.30885,-20.67442,-0.16603,-6.92302
3.33026,0.26311,-20.91469,-0.15051,-7.09293
3.53857,0.26311,-21.19155,-0.15051,-7.27526
